Tribunal;Codigo orgao;Municipio;UF;Nome orgao;Grau;CP_Dec_2023;CP_Dec_2024;%CP;Sus_Dec_2023;Sus_Dec_2024;%Sus;CN_12_meses;Tbaix_12_meses;Desp_12_meses;DecInc_12_meses;SentCM_12_meses;SentSM_12_meses;ProcSM100_Dec_2024;Conc100_Dec_2024;TPSent_12_meses;TPCPL_Dec_2024;TC_Dec_2024;IAD_12_meses;TPSent_12_meses_num;TPCPL_Dec_2024_num
TJSP;10756;TUPI PAULISTA;SP;01 CUMULATIVA DE TUPI PAULISTA;G1, JE;4.700;4.499;-4,3%;1.14;1.141;0,1%;1.628;1.752;4.662;6.412;1.134;364.0;726.0;9.0;8 anos e 5 meses;25 anos e 5 meses;65%;108%;101.0;305.0
TJSP;70925;SAO PAULO;SP;15ª CÂMARA DE DIREITO PÚBLICO;G2;19.676;21.417;8,8%;1.154;1.359;17,8%;14.602;12.881;12.743;7.29;1.358;977.0;13.409;1.335;2 meses;15 anos e 2 meses;61%;88%;2.0;182.0
TJSP;70927;SAO PAULO;SP;17ª CÂMARA DE DIREITO PÚBLICO;G2;12.256;11.671;-4,8%;444.0;622.0;40,1%;7.152;7.744;8.022;4.746;256.0;32.0;8.643;410.0;1 Mes;13 anos e 10 meses;59%;108%;1.0;166.0
TJSP;70926;SAO PAULO;SP;16ª CÂMARA DE DIREITO PÚBLICO;G2;12.521;12.748;1,8%;335.0;491.0;46,6%;8.951;8.72;9.899;4.069;332.0;53.0;8.967;428.0;2 meses;13 anos e 5 meses;58%;97%;2.0;161.0
TJSP;59816;SAO PAULO;SP;02 TURMA CIVEL DO III COLEGIO RECURSAL DA CAPITAL DE SANTO AMARO;TR;1.393;1.345;-3,4%;885.0;859.0;-2,9%;2.0;53.0;146.0;26.0;1.0;0.0;464.0;21.0;2 anos e 5 meses;13 anos e 3 meses;90%;2.650%;29.0;159.0
TJSP;59855;SAO PAULO;SP;03 TURMA CIVEL DO IV COLEGIO RECURSAL DA CAPITAL DE LAPA;TR;472;65.0;-86,2%;3.0;6.0;100%;4.0;415.0;323.0;16.0;4.0;1.0;49.0;4.0;3 anos e 7 meses;13 anos e 2 meses;12%;10.375%;43.0;158.0
TJSP;59817;SAO PAULO;SP;02 TURMA CIVEL DO IV COLEGIO RECURSAL DA CAPITAL DE LAPA;TR;439;74.0;-83,1%;4.0;5.0;25%;6.0;377.0;186.0;3.0;3.0;0.0;66.0;2.0;6 meses;12 anos e 8 meses;15%;6.283%;6.0;152.0
TJSP;70924;SAO PAULO;SP;14ª CÂMARA DE DIREITO PÚBLICO;G2;17.383;19.371;11,4%;1.41;1.723;22,2%;16.343;14.395;15.825;6.319;1.491;1.378;9.6;1.213;3 meses;12 anos;55%;88%;3.0;144.0
TJSP;11866;CAMPINAS;SP;SEF DE CAMPINAS;G1;303.506;294.141;-3,1%;27.252;29.506;8,3%;7.858;17.378;35.034;28.079;16.38;4.941;246.661;779.0;8 anos e 8 meses;11 anos e 8 meses;94%;221%;104.0;140.0
TJSP;59787;SAO PAULO;SP;01 TURMA CIVEL E CRIMINAL DO V COLEGIO RECURSAL DA CAPITAL DE PENHA;TR;254;75.0;-70,5%;8.0;8.0;0%;23.0;190.0;85.0;44.0;0.0;0.0;45.0;6.0;1 ano e 7 meses;11 anos e 4 meses;26%;826%;19.0;136.0
TJSP;59835;SAO PAULO;SP;02 TURMA CIVEL E CRIMINAL DO V COLEGIO RECURSAL DA CAPITAL DE PENHA;TR;264;101.0;-61,7%;9.0;7.0;-22,2%;1.0;181.0;102.0;21.0;3.0;2.0;60.0;8.0;9 meses;11 anos e 3 meses;34%;18.100%;9.0;135.0
TJSP;9748;ITAQUAQUECETUBA;SP;SAF DE ITAQUAQUECETUBA;G1;342.418;158.846;-53,6%;12.552;5.7;-54,6%;13.021;197.117;326.0;6.571;80.953;185.954;66.213;1.992;7 anos e 9 meses;10 anos e 11 meses;44%;1.514%;93.0;131.0
TJSP;10089;PITANGUEIRAS;SP;01 CUMULATIVA DE PITANGUEIRAS;G1, JE;24.100;23.232;-3,6%;844.0;903.0;7%;1.515;1.62;4.279;4.547;961.0;203.0;12.932;3.449;2 anos e 5 meses;10 anos e 10 meses;93%;107%;29.0;130.0
TJSP;9517;CATANDUVA;SP;SAF DE CATANDUVA;G1, JE;86.364;78.594;-9%;3.062;3.901;27,4%;1.075;8.802;3.224;10.105;5.508;1.866;39.251;8.922;7 anos e 2 meses;10 anos e 10 meses;89%;819%;86.0;130.0
TJSP;10266;SANTOS;SP;01 FAZENDA PUBLICA DE SANTOS;G1, JE;179.852;175.042;-2,7%;17.024;18.545;8,9%;6.93;11.911;11.634;22.594;6.498;3.302;130.221;103.0;7 anos e 5 meses;10 anos e 8 meses;93%;172%;89.0;128.0
TJSP;10695;SUMARE;SP;SAF DE SUMARE;G1;77.741;66.508;-14,4%;16.143;38.626;139,3%;10.836;22.415;27.436;32.85;7.129;16.271;15.001;101.0;4 anos e 10 meses;10 anos e 8 meses;55%;207%;58.0;128.0
TJSP;9350;PARANAPANEMA;SP;VARA UNICA DE PARANAPANEMA;G1, JE;30.712;21.943;-28,6%;1.18;1.137;-3,6%;1.404;1.644;2.617;5.317;968.0;166.0;18.427;23.0;2 anos e 3 meses;10 anos e 7 meses;93%;117%;27.0;127.0
TJSP;17565;PIRACICABA;SP;01 FAZENDA PUBLICA DE PIRACICABA;G1, JE;320.795;290.228;-9,5%;123.986;117.802;-5%;7.514;38.094;4.154;26.73;11.852;24.42;142.83;2.724;8 anos;10 anos e 7 meses;82%;507%;96.0;127.0
TJSP;10196;RIO CLARO;SP;FAZENDA PUBLICA DE RIO CLARO;G1, JE;110.042;85.007;-22,8%;10.164;7.406;-27,1%;1.948;3.968;14.593;5.066;2.085;1.186;69.793;5.15;5 anos e 11 meses;10 anos e 6 meses;95%;204%;71.0;126.0
TJSP;59238;LORENA;SP;SEF DE LORENA;G1;51.250;48.575;-5,2%;9.371;9.751;4,1%;60.0;2.708;436.0;3.481;3.1;1.423;18.493;434.0;10 anos e 10 meses;10 anos e 5 meses;93%;4.513%;130.0;125.0
TJSP;9837;LEME;SP;SEF DE LEME;G1;27.305;24.952;-8,6%;2.277;2.773;21,8%;215.0;2.607;1.094;4.824;1.735;2.111;19.548;84.0;10 anos e 3 meses;10 anos e 2 meses;89%;1.213%;123.0;122.0
TJSP;70907;SAO PAULO;SP;TURMA ESPECIAL - DIREITO PRIVADO 1;G2;266;265.0;-0,4%;1.0;1.0;0%;32.0;32.0;30.0;17.0;5.0;4.0;200.0;50.0;4 meses;10 anos e 1 Mes;89%;100%;4.0;121.0
TJSP;11647;SAO PAULO;SP;SETOR DE EXECUCOES FAZENDA PUBLICA DE CENTRAL;G1;13.067;12.411;-5%;469.0;808.0;72,3%;301.0;3.439;247.0;18.16;725.0;0.0;6.39;338.0;23 anos e 8 meses;10 anos;77%;1.143%;284.0;120.0
TJSP;9395;BAURU;SP;02 FAZENDA PUBLICA DE BAURU;G1, JE;15.615;10.859;-30,5%;6.645;2.863;-56,9%;1.364;1.304;3.674;4.881;992.0;137.0;4.616;97.0;1 ano e 8 meses;10 anos;86%;96%;20.0;120.0
TJSP;59857;MOGI DAS CRUZES;SP;03 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 45 C.J. - MOGI DAS CRUZES DE MOGI DAS CRUZES;TR;444;307.0;-30,9%;233.0;170.0;-27%;1.0;155.0;103.0;45.0;4.0;0.0;126.0;12.0;2 anos e 1 Mes;9 anos e 10 meses;47%;15.500%;25.0;118.0
TJSP;59778;MOGI DAS CRUZES;SP;01 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 45 C.J. - MOGI DAS CRUZES DE MOGI DAS CRUZES;TR;500;373.0;-25,4%;285.0;238.0;-16,5%;1.0;136.0;128.0;58.0;1.0;0.0;108.0;35.0;3 anos e 5 meses;9 anos e 9 meses;50%;13.600%;41.0;117.0
TJSP;10037;PENAPOLIS;SP;SEF DE PENAPOLIS;G1;50.078;38.065;-24%;2.804;2.34;-16,5%;863.0;12.864;1.157;3.386;1.737;13.334;27.803;417.0;9 anos e 3 meses;9 anos e 8 meses;74%;1.491%;111.0;116.0
TJSP;59769;SAO PAULO;SP;01 TURMA CIVEL DO IV COLEGIO RECURSAL DA CAPITAL DE LAPA;TR;477;105.0;-78%;6.0;7.0;16,7%;6.0;391.0;169.0;4.0;33.0;1.0;89.0;4.0;7 meses;9 anos e 8 meses;20%;6.517%;7.0;116.0
TJSP;10374;SAO JOSE DOS CAMPOS;SP;02 FAZENDA PUBLICA DE SAO JOSE DOS CAMPOS;G1, JE;15.871;13.329;-16%;3.668;1.8;-50,9%;1.004;993.0;5.033;2.851;803.0;93.0;4.851;27.0;5 anos e 6 meses;9 anos e 7 meses;92%;99%;66.0;115.0
TJSP;59230;GUARUJA;SP;FAZENDA PUBLICA DE GUARUJA;G1, JE;355.918;326.545;-8,3%;9.931;20.176;103,2%;4.764;34.049;563.0;38.281;27.147;13.412;162.905;4.834;8 anos e 1 Mes;9 anos e 7 meses;90%;715%;97.0;115.0
TJSP;10373;SAO JOSE DOS CAMPOS;SP;01 FAZENDA PUBLICA DE SAO JOSE DOS CAMPOS;G1, JE;17.286;14.108;-18,4%;3.646;3.064;-16%;975.0;1.873;4.386;3.589;529.0;138.0;5.329;27.0;4 anos;9 anos e 7 meses;85%;192%;48.0;115.0
TJSP;59765;SAO BERNARDO DO CAMPO;SP;01 TURMA CIVEL DO COLEGIO RECURSAL DE SAO BERNARDO DO CAMPO DE SAO BERNARDO DO CAMPO;TR;47;3.0;-93,6%;5.0;0.0;-100%;2.0;46.0;25.0;1.0;3.0;0.0;1.0;0.0;6 anos e 8 meses;9 anos e 7 meses;2%;2.300%;80.0;115.0
TJSP;10132;PRESIDENTE PRUDENTE;SP;01 EXECUCOES CRIMINAIS DE PRESIDENTE PRUDENTE;G1;5.914;4.08;-31%;189.0;232.0;22,8%;573.0;868.0;1.903;2.513;302.0;0.0;2.104;356.0;11 anos;9 anos e 7 meses;82%;151%;132.0;115.0
TJSP;9389;BAURU;SP;01 FAZENDA PUBLICA DE BAURU;G1, JE;19.563;9.864;-49,6%;12.486;3.213;-74,3%;1.369;1.482;2.435;6.021;1.075;52.0;4.034;89.0;1 ano e 6 meses;9 anos e 7 meses;82%;108%;18.0;115.0
TJSP;59231;JACAREI;SP;FAZENDA PUBLICA DE JACAREI;G1;120.142;101.815;-15,3%;13.955;10.442;-25,2%;1.9;20.174;21.941;11.29;4.059;19.393;69.064;4.972;6 anos e 5 meses;9 anos e 4 meses;82%;1.062%;77.0;112.0
TJSP;59826;MOGI DAS CRUZES;SP;02 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 45 C.J. - MOGI DAS CRUZES DE MOGI DAS CRUZES;TR;440;254.0;-42,3%;265.0;209.0;-21,1%;2.0;200.0;109.0;61.0;10.0;0.0;36.0;11.0;11 meses;9 anos e 4 meses;18%;10.000%;11.0;112.0
TJSP;9304;ARACATUBA;SP;FAZENDA PUBLICA DE ARACATUBA;G1, JE;129.199;102.556;-20,6%;13.415;14.213;5,9%;9.65;36.153;10.694;9.386;8.525;18.775;35.463;5.436;7 anos e 3 meses;9 anos e 2 meses;71%;375%;87.0;110.0
TJSP;17559;FRANCISCO MORATO;SP;SEF DE FRANCISCO MORATO;G1;53.594;53.47;-0,2%;4.336;4.973;14,7%;258.0;1.222;2.422;5.072;835.0;529.0;15.779;34.0;7 anos e 8 meses;9 anos e 1 Mes;98%;474%;92.0;109.0
TJSP;71066;SAO PAULO;SP;6º GRUPO DE CÂMARAS DE DIREITO PRIVADO;G2;53;47.0;-11,3%;0.0;0.0;0%;21.0;28.0;14.0;87.0;0.0;12.0;16.0;4.0;6 meses;9 anos e 1 Mes;63%;133%;6.0;109.0
TJSP;9550;CUBATAO;SP;SAF DE CUBATAO;G1;36.462;23.436;-35,7%;2.833;2.299;-18,8%;620.0;13.613;1.725;1.345;7.14;7.467;15.972;823.0;12 anos e 8 meses;9 anos e 1 Mes;61%;2.196%;152.0;109.0
TJSP;9568;DIADEMA;SP;FAZENDA PUBLICA DE DIADEMA;G1, JE;125.895;117.649;-6,5%;10.091;8.587;-14,9%;8.33;17.26;7.038;8.273;6.04;10.165;95.726;24.0;8 anos e 1 Mes;8 anos e 11 meses;86%;207%;97.0;107.0
TJSP;17561;ITAPEVI;SP;SEF DE ITAPEVI;G1;139.410;85.674;-38,5%;8.346;10.543;26,3%;201.0;55.564;20.964;44.829;18.464;13.195;39.831;1.968;12 anos e 7 meses;8 anos e 11 meses;57%;27.644%;151.0;107.0
TJSP;12721;EMBU DAS ARTES;SP;SAF DE EMBU DAS ARTES;G1;133.089;115.745;-13%;14.234;11.558;-18,8%;4.759;22.313;1.493;6.356;4.658;20.482;48.726;3.141;13 anos e 3 meses;8 anos e 11 meses;82%;469%;159.0;107.0
TJSP;9536;COTIA;SP;SAF DE COTIA;G1;133.797;119.295;-10,8%;13.603;12.523;-7,9%;534.0;17.566;16.269;1.556;4.611;8.378;31.878;3.642;10 anos e 4 meses;8 anos e 10 meses;86%;3.290%;124.0;106.0
TJSP;10086;PIRASSUNUNGA;SP;SEF DE PIRASSUNUNGA;G1;28.999;19.987;-31,1%;645.0;646.0;0,2%;5.953;14.953;1.735;3.955;3.345;10.941;15.08;284.0;8 anos e 5 meses;8 anos e 10 meses;56%;251%;101.0;106.0
TJSP;10400;SAO PAULO;SP;02 JURI DE SANTANA;G1, JE;1.446;1.34;-7,3%;248.0;241.0;-2,8%;127.0;202.0;1.782;2.427;172.0;71.0;820.0;19.0;3 anos;8 anos e 10 meses;84%;159%;36.0;106.0
TJSP;9302;ARACATUBA;SP;VARA DA COMARCA DE ARACATUBA;G1;14.584;7.655;-47,5%;2.588;2.973;14,9%;90.0;162.0;51.0;105.0;156.0;0.0;3.699;181.0;13 anos e 10 meses;8 anos e 10 meses;97%;180%;166.0;106.0
TJSP;59832;ITANHAEM;SP;02 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 56 C.J. - ITANHAEM DE ITANHAEM;TR;199;49.0;-75,4%;101.0;0.0;-100%;17.0;176.0;72.0;60.0;16.0;0.0;2.0;46.0;5 anos;8 anos e 10 meses;1%;1.035%;60.0;106.0
TJSP;9373;BARUERI;SP;FAZENDA PUBLICA DE BARUERI;G1, JE;67.987;63.947;-5,9%;15.582;14.938;-4,1%;4.848;9.061;7.792;39.947;5.968;1.903;31.758;241.0;7 anos e 3 meses;8 anos e 9 meses;84%;187%;87.0;105.0
TJSP;9347;AVARE;SP;01 CRIMINAL DE AVARE;G1, JE;6.839;6.145;-10,1%;254.0;463.0;82,3%;1.191;1.535;7.351;2.165;804.0;378.0;1.922;1.422;3 anos;8 anos e 9 meses;79%;129%;36.0;105.0
TJSP;10254;BERTIOGA;SP;01 CUMULATIVA DE BERTIOGA;G1, JE;15.050;14.773;-1,8%;5.556;5.838;5,1%;2.856;2.886;11.441;6.702;2.326;540.0;1.017;180.0;2 anos;8 anos e 9 meses;75%;101%;24.0;105.0
TJSP;59844;PRESIDENTE PRUDENTE;SP;03 TURMA CIVEL DO COLEGIO RECURSAL DA 27 C.J. - PRESIDENTE PRUDENTE DE PRESIDENTE PRUDENTE;TR;453;320.0;-29,4%;417.0;284.0;-31,9%;1.0;147.0;189.0;30.0;1.0;0.0;17.0;13.0;5 anos e 11 meses;8 anos e 7 meses;10%;14.700%;71.0;103.0
TJSP;9521;CERQUEIRA CESAR;SP;01 CUMULATIVA DE CERQUEIRA CESAR;G1, JE;9.553;8.896;-6,9%;2.083;2.168;4,1%;1.686;1.846;5.123;3.353;1.113;180.0;3.534;40.0;1 ano e 7 meses;8 anos e 7 meses;78%;109%;19.0;103.0
TJSP;9335;ATIBAIA;SP;SAF DE ATIBAIA;G1;43.454;41.612;-4,2%;8.151;7.771;-4,7%;2.563;4.396;0.0;6.955;3.094;1.287;26.146;1.034;9 anos e 3 meses;8 anos e 7 meses;89%;172%;111.0;103.0
TJSP;10162;RIBEIRAO PIRES;SP;SAF DE RIBEIRAO PIRES;G1;51.425;44.193;-14,1%;5.185;3.968;-23,5%;137.0;6.804;1.889;5.709;3.408;1.462;32.486;24.0;11 anos e 6 meses;8 anos e 7 meses;86%;4.966%;138.0;103.0
TJSP;10499;SAO PAULO;SP;02 ESPECIAL INFANCIA JUVENTUDE DE CENTRAL;G1;136;142.0;4,4%;3.0;4.0;33,3%;41.0;50.0;329.0;17.0;8.0;17.0;92.0;22.0;6 meses;8 anos e 5 meses;73%;122%;6.0;101.0
TJSP;71060;SAO PAULO;SP;4ª CÂMARA EXTRAORDINÁRIA DE DIREITO PÚBLICO;G2;22;14.0;-36,4%;5.0;4.0;-20%;1.0;8.0;5.0;13.0;0.0;0.0;9.0;1.0;0 anos;8 anos e 5 meses;56%;800%;0.0;101.0
TJSP;70959;SAO PAULO;SP;ÓRGÃO ESPECIAL;G2;4.002;3.756;-6,1%;450.0;171.0;-62%;1.527;1.791;2.059;4.152;1.472;424.0;2.26;295.0;9 meses;8 anos e 4 meses;67%;117%;9.0;100.0
TJSP;10659;SERRANA;SP;01 CUMULATIVA DE SERRANA;G1, JE;18.131;18.242;0,6%;3.623;3.578;-1,2%;2.547;2.582;10.238;3.833;1.612;539.0;3.874;253.0;3 anos e 3 meses;8 anos e 4 meses;85%;101%;39.0;100.0
TJSP;59831;JALES;SP;02 TURMA CIVEL E CRIMINAL DO COLEGIO RECURSAL DA 55 C.J. - JALES DE JALES;TR;605;81.0;-86,6%;227.0;7.0;-96,9%;3.0;542.0;302.0;40.0;70.0;0.0;69.0;12.0;1 ano e 2 meses;8 anos e 4 meses;11%;18.067%;14.0;100.0
TJSP;10351;SAO JOSE DO RIO PRETO;SP;01 FAZENDA PUBLICA DE SAO JOSE DO RIO PRETO;G1, JE;34.460;34.318;-0,4%;1.002;1.052;5%;1.194;1.146;1.595;2.924;788.0;162.0;30.848;580.0;2 anos e 1 Mes;8 anos e 4 meses;97%;96%;25.0;100.0
TJSP;9721;ITAPECERICA DA SERRA;SP;SAF DE ITAPECERICA DA SERRA;G1;79.640;23.165;-70,9%;20.626;7.691;-62,7%;2.023;58.522;13.424;15.539;6.009;53.739;10.084;166.0;7 anos e 11 meses;8 anos e 3 meses;21%;2.893%;95.0;99.0
TJSP;9394;BAURU;SP;02 EXECUCOES CRIMINAIS DE BAURU;G1;14.464;12.351;-14,6%;330.0;345.0;4,5%;1.321;1.83;5.805;3.577;2.175;4.0;5.221;2.441;4 anos e 7 meses;8 anos e 3 meses;87%;139%;55.0;99.0
TJSP;72000;SAO PAULO;SP;25ª CÂMARA EXTRAORDINÁRIA DE DIREITO PRIVADO;G2;57;53.0;-7%;12.0;12.0;0%;1.0;6.0;1.0;5.0;1.0;0.0;31.0;8.0;0 anos;8 anos e 2 meses;87%;600%;0.0;98.0
TJSP;10709;TABOAO DA SERRA;SP;SAF DE TABOAO DA SERRA;G1;132.068;97.781;-26%;12.51;10.526;-15,9%;2.368;36.508;878.0;43.489;7.465;6.779;49.465;3.632;9 anos e 9 meses;8 anos e 2 meses;71%;1.542%;117.0;98.0
TJSP;11746;SERTAOZINHO;SP;SEF DE SERTAOZINHO;G1;54.862;48.713;-11,2%;25.276;24.293;-3,9%;1.567;7.698;5.417;6.664;4.383;3.988;20.336;1.074;9 anos e 1 Mes;8 anos e 2 meses;76%;491%;109.0;98.0
TJSP;59245;UBATUBA;SP;SAF DE UBATUBA;G1;147.553;151.987;3%;12.401;14.508;17%;12.301;7.869;3.121;18.623;4.466;1.949;109.061;648.0;10 anos e 1 Mes;8 anos e 1 Mes;95%;64%;121.0;97.0
TJSP;9498;CARAGUATATUBA;SP;SAF DE CARAGUATATUBA;G1;56.450;54.361;-3,7%;20.007;21.096;5,4%;2.362;4.318;5.62;13.768;2.115;2.569;23.253;327.0;6 anos e 2 meses;8 anos e 1 Mes;89%;183%;74.0;97.0
TJSP;59843;SANTOS;SP;03 TURMA CIVEL DO COLEGIO RECURSAL DA 1 C.J. - SANTOS DE SANTOS;TR;753;437.0;-42%;50.0;23.0;-54%;5.0;334.0;60.0;12.0;1.0;0.0;202.0;275.0;1 ano e 3 meses;8 anos;55%;6.680%;15.0;96.0
TJSP;10267;SANTOS;SP;02 FAZENDA PUBLICA DE SANTOS;G1;134.698;125.129;-7,1%;48.509;67.974;40,1%;7.06;17.02;13.523;22.791;8.228;1.939;42.84;97.0;7 anos e 10 meses;7 anos e 11 meses;77%;241%;94.0;95.0
TJSP;10635;SAO ROQUE;SP;SEF DE SAO ROQUE;G1;44.630;44.138;-1,1%;2.219;2.147;-3,2%;1.969;2.483;1.542;3.66;1.644;611.0;36.353;1.0;10 anos e 4 meses;7 anos e 11 meses;94%;126%;124.0;95.0
TJSP;10501;SAO PAULO;SP;04 ESPECIAL INFANCIA JUVENTUDE DE CENTRAL;G1;160;144.0;-10%;17.0;13.0;-23,5%;51.0;57.0;148.0;183.0;20.0;17.0;100.0;1.0;1 ano e 4 meses;7 anos e 11 meses;69%;112%;16.0;95.0
TJSP;10768;VALINHOS;SP;SEF DE VALINHOS;G1, JE;24.658;19.223;-22%;6.806;6.015;-11,6%;910.0;6.389;5.134;6.017;1.585;1.735;7.603;225.0;11 anos;7 anos e 11 meses;67%;702%;132.0;95.0
TJSP;59881;SAO PAULO;SP;08 TURMA CIVEL DO I COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;213;164.0;-23%;170.0;136.0;-20%;2.0;52.0;40.0;116.0;1.0;0.0;3.0;0.0;10 meses;7 anos e 11 meses;7%;2.600%;10.0;95.0
TJSP;11860;MOCOCA;SP;SEF DE MOCOCA;G1;19.996;17.756;-11,2%;9.988;8.713;-12,8%;31.0;2.262;4.973;8.101;1.41;1.034;2.01;206.0;8 anos e 10 meses;7 anos e 11 meses;80%;7.297%;106.0;95.0
TJSP;10355;SAO JOSE DO RIO PRETO;SP;02 FAZENDA PUBLICA DE SAO JOSE DO RIO PRETO;G1, JE;27.293;27.39;0,4%;1.11;1.081;-2,6%;1.172;925.0;1.601;2.745;758.0;146.0;24.626;79.0;2 anos;7 anos e 10 meses;97%;79%;24.0;94.0
TJSP;10651;SAO VICENTE;SP;EXECUCOES CRIMINAIS DE SAO VICENTE;G1;10.686;9.908;-7,3%;29.0;37.0;27,6%;605.0;1.035;1.587;3.64;511.0;6.0;4.967;3.33;4 anos e 1 Mes;7 anos e 10 meses;91%;171%;49.0;94.0
TJSP;10498;SAO PAULO;SP;01 ESPECIAL INFANCIA JUVENTUDE DE CENTRAL;G1;132;133.0;0,8%;7.0;5.0;-28,6%;53.0;61.0;119.0;220.0;5.0;27.0;100.0;0.0;6 meses;7 anos e 10 meses;68%;115%;6.0;94.0
TJSP;10001;OURINHOS;SP;SAF DE OURINHOS;G1;41.145;32.221;-21,7%;7.443;6.618;-11,1%;918.0;9.829;6.429;7.056;3.01;6.094;7.467;2.743;9 anos e 7 meses;7 anos e 10 meses;72%;1.071%;115.0;94.0
TJSP;10950;TUPÃ;SP;EXECUCOES CRIMINAIS DE TUPA;G1;12.933;10.583;-18,2%;202.0;313.0;55%;1.394;1.288;5.51;5.244;1.268;41.0;3.502;3.277;5 anos e 9 meses;7 anos e 9 meses;89%;92%;69.0;93.0
TJSP;10223;SANTA FE DO SUL;SP;01 CUMULATIVA DE SANTA FE DO SUL;G1, JE;5.854;5.692;-2,8%;1.193;1.266;6,1%;2.646;2.784;7.221;7.584;2.107;468.0;626.0;21.0;2 anos e 7 meses;7 anos e 9 meses;61%;105%;31.0;93.0
TJSP;10500;SAO PAULO;SP;03 ESPECIAL INFANCIA JUVENTUDE DE CENTRAL;G1;65;60.0;-7,7%;3.0;1.0;-66,7%;47.0;60.0;220.0;92.0;6.0;7.0;43.0;4.0;8 meses;7 anos e 8 meses;50%;128%;8.0;92.0
TJSP;17564;LENCOIS PAULISTA;SP;SEF DE LENCOIS PAULISTA;G1;21.773;18.598;-14,6%;12.484;12.445;-0,3%;404.0;3.531;2.376;7.268;2.215;1.168;3.117;19.0;8 anos e 2 meses;7 anos e 7 meses;64%;874%;98.0;91.0
TJSP;59750;SANTOS;SP;01 TURMA CIVEL DO COLEGIO RECURSAL DA 1 C.J. - SANTOS DE SANTOS;TR;784;262.0;-66,6%;63.0;50.0;-20,6%;11.0;552.0;154.0;13.0;16.0;0.0;160.0;44.0;7 meses;7 anos e 7 meses;28%;5.018%;7.0;91.0
TJSP;9711;ITAI;SP;VARA UNICA DE ITAI;G1, JE;44.907;44.677;-0,5%;34.821;34.935;0,3%;1.892;2.036;4.402;5.314;1.528;290.0;5.676;285.0;2 anos e 4 meses;7 anos e 7 meses;82%;108%;28.0;91.0
TJSP;71009;SAO PAULO;SP;02 TURMA DO JUIZADO FAZENDA PUBLICA DO COLEGIO RECURSAL DA CAPITAL DE CENTRAL;TR;362;80.0;-77,9%;139.0;21.0;-84,9%;6.0;343.0;203.0;15.0;13.0;0.0;42.0;15.0;1 ano e 6 meses;7 anos e 7 meses;14%;5.717%;18.0;91.0
TJSP;9277;AMPARO;SP;SEF DE AMPARO;G1;25.977;24.287;-6,5%;3.022;2.644;-12,5%;132.0;1.798;354.0;2.629;1.559;772.0;14.648;461.0;7 anos e 3 meses;7 anos e 7 meses;92%;1.362%;87.0;91.0
TJSP;10186;RIBEIRAO PRETO;SP;01 FAZENDA PUBLICA DE RIBEIRAO PRETO;G1, JE;15.725;13.918;-11,5%;2.645;2.566;-3%;2.021;2.006;6.007;3.138;1.054;683.0;6.907;158.0;7 anos e 2 meses;7 anos e 7 meses;85%;99%;86.0;91.0
TJSP;10629;SAO PEDRO;SP;01 CUMULATIVA DE SAO PEDRO;G1, JE;13.318;13.46;1,1%;2.393;2.479;3,6%;1.766;1.456;3.025;5.152;1.006;309.0;7.152;56.0;1 ano e 11 meses;7 anos e 7 meses;88%;82%;23.0;91.0
TJSP;9925;MOGI DAS CRUZES;SP;FAZENDA PUBLICA DE MOGI DAS CRUZES;G1, JE;135.687;127.032;-6,4%;23.91;28.238;18,1%;5.242;13.875;1.528;44.501;8.507;6.823;72.113;2.669;5 anos e 7 meses;7 anos e 7 meses;88%;265%;67.0;91.0
TJSP;9270;AMERICANA;SP;SAF DE AMERICANA;G1;67.699;57.36;-15,3%;12.197;10.771;-11,7%;670.0;10.9;3.061;7.535;7.968;2.503;37.131;531.0;6 anos e 2 meses;7 anos e 6 meses;81%;1.627%;74.0;90.0
TJSP;9995;OSVALDO CRUZ;SP;02 CUMULATIVA DE OSVALDO CRUZ;G1, JE;14.453;11.908;-17,6%;3.196;3.6;12,6%;2.248;4.594;11.178;5.827;2.044;767.0;3.727;88.0;2 anos e 11 meses;7 anos e 6 meses;64%;204%;35.0;90.0
TJSP;10557;SAO PAULO;SP;06 FAZENDA PUBLICA DE CENTRAL;G1, JE;22.635;19.697;-13%;3.691;2.988;-19%;3.921;6.124;40.817;21.387;6.82;542.0;2.066;50.0;5 anos e 5 meses;7 anos e 6 meses;73%;156%;65.0;90.0
TJSP;17569;SALTO;SP;SEF DE SALTO;G1;36.672;31.667;-13,6%;9.333;19.934;113,6%;611.0;5.631;7.881;19.918;3.179;3.296;4.915;125.0;6 anos e 7 meses;7 anos e 6 meses;68%;922%;79.0;90.0
TJSP;10904;SANTA BRANCA;SP;VARA UNICA DE SANTA BRANCA;G1, JE;5.551;5.036;-9,3%;846.0;1.174;38,8%;1.028;1.503;7.706;2.514;823.0;370.0;831.0;51.0;3 anos e 7 meses;7 anos e 6 meses;72%;146%;43.0;90.0
